name,length,starring,year,notes,recorded_bought,inserted,updated
Breaking Away,1:40,"D.Quaid,D.Christopher,P.Dooley",1979,Ind,0,5/13/2010 22:30,5/31/2012 19:51
breath of scandal,,,,,0,5/13/2010 22:30,5/16/2010 19:23
Brewsters Millions,1:37,"R.Pryor, J.Candy",1985,,0,5/13/2010 22:30,5/5/2011 21:51
bridge to tarabithia,,,,,0,5/13/2010 22:30,5/16/2010 19:23
Brief Encounter,,,1974,,0,5/13/2010 22:30,5/16/2010 19:23
Brief Encounter,,Trevor Howard,1945,Hitchcock,0,5/13/2010 22:30,2/18/2011 2:29
Bring it On,,,2000,,0,5/13/2010 22:30,12/30/2010 23:18
Bring It On Again,,,2004,aka Bring It On 2,0,5/13/2010 22:30,1/2/2011 21:55
Bring It On II: All or Nothing,,,2006,,0,5/13/2010 22:30,12/30/2010 23:19
Broke Back Mountain,2:14,"Heath Ledger, Jake Gyllenhaal, Michelle Wms.",2005,,0,5/13/2010 22:30,1/31/2013 19:41
broken arrow,,,,,0,5/13/2010 22:30,5/16/2010 19:23
broken bridges,,,,w/comms,0,5/13/2010 22:30,1/1/2011 0:46
brooklyn dodgers,,,, TV Doc,0,5/13/2010 22:30,12/30/2010 21:28
"Brothers Soloman, The",,,,,0,5/13/2010 22:30,5/16/2010 19:23
"bucket list, the",,,,,0,5/13/2010 22:30,5/16/2010 19:23
"Buddy Holly Story, The",,,,,0,5/13/2010 22:30,5/16/2010 19:23
buffy the vampire slayer,,,,,0,5/13/2010 22:30,5/16/2010 19:23
"Bugle Sounds, The",,,1942,,0,5/13/2010 22:30,1/2/2011 22:23
Bugsy,2:15,"Warren Beatty, Annette Benning",1991,,0,5/13/2010 22:30,2/16/2011 23:05
Bulitt,1:53,S.McQueen,1968,,0,5/13/2010 22:30,12/30/2010 18:05
Bundle of Joy,1:38,Debbie Reynolds. Eddie Fisher,1956,,0,5/13/2010 22:30,1/31/2013 19:42
"Buona Sera, Mrs. Campbell",,"G.Lollabrigita, Telly Sevalas",,Italy,0,5/13/2010 22:30,5/5/2011 23:10
"Burbs, The",,,,,0,5/13/2010 22:30,5/16/2010 19:23
Burglar,,,,,0,5/13/2010 22:30,5/16/2010 19:23
Burglar,,,,"w/Sex,Lies",0,5/13/2010 22:30,1/2/2011 21:40
Burn After Reading,,,,,0,5/13/2010 22:30,5/16/2010 19:23
Burn Notice,,Jeffrey Donovan,2010,Episodes,0,5/13/2010 22:30,1/8/2011 12:25
"Burning Bed, The",,,,,0,5/13/2010 22:30,5/16/2010 19:23
By Dawn's Early Light,,,,,0,5/13/2010 22:30,5/16/2010 19:23
Cactus Flower,,,,,0,5/13/2010 22:30,5/16/2010 19:23
caddyshack,,,,,0,5/13/2010 22:30,5/16/2010 19:23
Call Me Clause,,,,Xmas,0,5/13/2010 22:30,12/30/2010 22:53
Camille,,,1936,,0,5/13/2010 22:30,5/16/2010 19:23
campus rhythm,,,,,0,5/13/2010 22:30,5/16/2010 19:23
Canadian Bacon,,,,,0,5/13/2010 22:30,12/30/2010 22:49
"candidate, the",,,,,0,5/13/2010 22:30,5/16/2010 19:23
Candles On Bay Street,,,,,0,5/13/2010 22:30,5/16/2010 19:23
candleshoe,,,,,0,5/13/2010 22:30,5/16/2010 19:23
Can't Stop the Music,,,,,0,5/13/2010 22:30,5/16/2010 19:23
"Canterville Ghost, the",1:36,"Charles Laughton, Robt.Young, Mgt.O'Brien",1944,England,0,5/13/2010 22:30,3/27/2013 15:32
capricorn one,,,,,0,5/13/2010 22:30,5/16/2010 19:23
Carrie,1:38,"Sissy Spacek, John Travolta",1976,,0,5/13/2010 22:30,5/31/2012 20:16
cars,,,,,0,5/13/2010 22:30,5/16/2010 19:23
Casablanca,1:44,"Bogart & Bergman, Paul Henreid, Claude Rains",1943,"w/Robert Osborne, 2013.",0,5/13/2010 22:30,2/6/2013 21:18
Cash Mc Call,,"J.Garner,N.Wood,C.Wills",,,0,5/13/2010 22:30,12/30/2010 23:05
Casino,,,,,0,5/13/2010 22:30,5/16/2010 19:23
Casper,,,,,0,5/13/2010 22:30,5/16/2010 19:23
"cassandra crossing, the",,,,,0,5/13/2010 22:30,5/16/2010 19:23
cassanova,,,,comms,0,5/13/2010 22:30,5/16/2010 19:23
Caveman,,,,,0,5/13/2010 22:30,5/16/2010 19:23
chain reaction,,,,,0,5/13/2010 22:30,5/16/2010 19:23
Challenge to Lassie,,,,Lassie,0,5/13/2010 22:30,12/30/2010 19:16
chances are,,,,w/comms,0,5/13/2010 22:30,1/1/2011 0:46
Charade,,"Cary Grant, Audrey Hepburn",,Paris,0,5/13/2010 22:30,6/1/2012 11:06
charlie wilson's war,,,,,0,5/13/2010 22:30,5/16/2010 19:23
Charlie's Angels 1,,"Barrymore,Diaz,Liu",,,0,5/13/2010 22:30,1/7/2011 0:38
"chase, the",,,,,0,5/13/2010 22:30,5/16/2010 19:23
Cheaper By the Dozen,1:25,"Clifton Webb, Myrna Loy",1950,Original,0,5/13/2010 22:30,1/31/2013 19:44
"China Syndrome,The",2:02,"J.Lemmon,M.Douglas",1979,,0,5/13/2010 22:30,5/5/2011 21:53
chocolat,,,,,0,5/13/2010 22:30,5/16/2010 19:23
Christmas  in Canaan,1:40,Billy Ray Cyrus,2009,Xmas,0,5/13/2010 22:30,5/31/2012 20:19
"christmas card, the",,,,Xmas,0,5/13/2010 22:30,12/30/2010 22:48
"christmas shoes, the",,,,Xmas,0,5/13/2010 22:30,12/30/2010 22:49
"christmas wish, the",,,,Xmas,0,5/13/2010 22:30,12/30/2010 22:50
"Chronicles of Narnia II, The",,,,,0,5/13/2010 22:30,5/16/2010 19:23
circle of friends,,,,,0,5/13/2010 22:30,5/16/2010 19:23
"circuit, the",,,,,0,5/13/2010 22:30,5/16/2010 19:23
Citizen Jane,,,,,0,5/13/2010 22:30,5/16/2010 19:23
City of Joy,,,,,0,5/13/2010 22:30,5/16/2010 19:23
Clambake,,,,Elvis,0,5/13/2010 22:30,12/31/2010 18:25
clara's heart,,,,,0,5/13/2010 22:30,5/16/2010 19:23
Clear & Present Danger,,,,,0,5/13/2010 22:30,5/16/2010 19:23
clerks,,,,,0,5/13/2010 22:30,5/16/2010 19:23
click,,,,,0,5/13/2010 22:30,5/16/2010 19:23
Close Encounters of the 3rd Kind,,,,,0,5/13/2010 22:30,5/16/2010 19:23
Clueless,,,,,0,5/13/2010 22:30,5/16/2010 19:23
coal miners daughter,,,,,0,5/13/2010 22:30,5/16/2010 19:23
Cobra,1:26,"Stallone, B.Nielsen",1986,,0,5/13/2010 22:30,5/5/2011 21:53
coco chanel,,,,,0,5/13/2010 22:30,5/16/2010 19:23
Cocoon,,,,,0,5/13/2010 22:30,5/16/2010 19:23
Cocoon: The Return,,,,,0,5/13/2010 22:30,1/1/2011 5:34
code name: the cleaner,,,,,0,5/13/2010 22:30,5/16/2010 19:23
co-ed call girl,,,,,0,5/13/2010 22:30,5/16/2010 19:23
collisoin course,,,,,0,5/13/2010 22:30,5/16/2010 19:23
